Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
Jutanhak Beauty Center ,Klinik kecantikan,0214533460,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/jutanhak-beauty-center,http://images.malkelapagading.com/tenant/Jutanhak-Beauty-Centerlogo.jpg
Kaizen ,Salon,02145849063,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/kaizen,http://images.malkelapagading.com/tenant/Kaizenlogo2.jpg
KALCare ,Produk Kesehatan,,,MKG-1,Lantai 2,,https://www.malkelapagading.com/directory/kalcare,http://images.malkelapagading.com/tenant/KALCarelogo-61.jpg
KEMAYU ,"Keindahan Wewangian Indonesia : difuser, room fragrance spray",087716916055,https://api.whatsapp.com/send?phone=6287716916055,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/kemayu,http://images.malkelapagading.com/tenant/KEMAYUlogo-7.jpg
Kettler Sport ,Peralatan Olahraga,0214529675,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/kettler-sport,http://images.malkelapagading.com/tenant/Kettler-Sportlogo.jpg
Ketupat Rusmini ,Lontong Cap Gomeh,081399999345,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/lontong-cap-gomeh-rusmini,http://images.malkelapagading.com/tenant/Lontong-cap-Gomeh-Rusminilogo1.jpg
KFC ,"Ayam Crispy, Rice Box, Burger, Spaghetti, Pudding",02145853993,https://api.whatsapp.com/send?phone=628117156934,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/kfc,http://images.malkelapagading.com/tenant/KFClogo-34.jpg
Kidz Station ,Mainan anak-anak,02145842507,https://api.whatsapp.com/send?phone=6287777660289,MKG-3,Lantai 2,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/kidz-station,http://images.malkelapagading.com/tenant/Kidz-Stationlogo-53.jpg
Kiehl`s ,Produk kecantikan & perawatan kulit,02145878286,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/kiehls,http://images.malkelapagading.com/tenant/Kiehlslogo.jpg
Kimukatsu ,Millefeuile Katsu Aneka Rasa,,https://api.whatsapp.com/send?phone=6285892449497,MKG-3,Lantai 3,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/kimukatsu,http://images.malkelapagading.com/tenant/Kimukatsulogo-87.jpg
Kintan Buffet ,All You Can Eat Japanese Yakiniku Buffet,02145853796,,MKG-3,Lantai 2,Gedung Parkir 3 Lantai 2,https://www.malkelapagading.com/directory/kintan-buffet,http://images.malkelapagading.com/tenant/Kintan-Buffetlogo.jpg
Kitchenette ,"Fusion Asian-Western food: salad, soup, breakfast, fries, pasta, steak, fish n chips, crepes, galette, fried rice, juice, coffee, mocktail",02145853948,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/kitchenette,http://images.malkelapagading.com/tenant/Kitchenettelogo.jpg
Kkuldak ,"Chicken Ball, Chicken Wings",02145848977,,MKG-3,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/kkuldak,http://images.malkelapagading.com/tenant/Kkuldaklogo.jpg
KKV ,"Skincare, Make Up, Snacks, Toys, Artificial Flowers, etc",6281284998823,,La Piazza,Lantai 1,,https://www.malkelapagading.com/directory/kkv,http://images.malkelapagading.com/tenant/KKVlogo-35.jpg
Koi Teppanyaki ,Teppanyaki,02145853616,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/koi-teppanyaki,http://images.malkelapagading.com/tenant/Koi-Teppanyakilogo.jpg
KOKUMI ,"Cheese Macchiato Thai Tea, Avocado Mocha Macchiato, Cheese Macchiato Mango, Cheese Macchiato Kiwi, Cheese Macchiato Strawberry, Cheese Macchiato Greentea, Cheese Macchiato Oolong Tea, Cheese Macchiato Ovomaltine, Unicorn Drink, ",,https://api.whatsapp.com/send?phone=6285842542909,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/kokumi,http://images.malkelapagading.com/tenant/KOKUMIlogo.jpg
Kopi dibawahtangga ,"Coffee Shop, Kopi Susu",,,MKG-3,Basement,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/kopi-dibawahtangga,http://images.malkelapagading.com/tenant/Kopi-dibawahtanggalogo-25.jpg
Kopi Janji Jiwa ,"Coffee, Es Kopi Susu",,,MKG-3,Lantai 3,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/kopi-janji-jiwa,http://images.malkelapagading.com/tenant/Janji-Jiwa-Xlogo-7.jpg
Kopi Kenangan ,"Coffee shop, kopi susu, latte, kopi hitam, teh susu, teh tarik, shake, green tea, milo",,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/kopi-kenangan,http://images.malkelapagading.com/tenant/Kopi-Kenanganlogo.jpg
Kopi Luwak ,"Coffee, Luwak, Tea, Smoothies, Nasi Goreng Kampoeng,  Ayam Bakar Rica-rica, Nasi Rames Rendang Sapi, Ayam Goreng Lengkuas, Tongseng, Sate Sapi, Salad, Pasta",02145854155,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/kopi-luwak,http://images.malkelapagading.com/tenant/Kopi-Luwaklogo.jpg
Krispy Kreme Doughnut ,"Doughnut, coffee, frozen blend, cake",085710182802,,MKG-3,Lantai Dasar,Gedung Parkir 2 Basement P1A,https://www.malkelapagading.com/directory/krispy-kreme,http://images.malkelapagading.com/tenant/Krispy-Kreme-Doughnutlogo.jpg
Kwetiau Sapi Kelapa Gading ,Kwetiau Sapi Goreng/Bun/Kuah,,,MKG-3,Lantai 3,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/kwetiau-sapi-kelapa-gading,http://images.malkelapagading.com/tenant/Kwetiau-Sapi-Kelapa-Gadinglogo3.jpg
KyoChon Chicken ,Chicken Wings,02145853822,https://api.whatsapp.com/send?phone=6281908805847,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/kyo-chon,http://images.malkelapagading.com/tenant/KyoChon-Chickenlogo-8.jpg
LAKON ,Fashion | Beauty | Lifestyle | Art,02145865020,https://api.whatsapp.com/send?phone=6287787107575,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/lakon,http://images.malkelapagading.com/tenant/LAKONlogo-67.jpg
Lan Zhou Lamian ,Lamian,,,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/lan-zhou-lamian,http://images.malkelapagading.com/tenant/Lan-Zhou-Lamianlogo-57.jpg
Land of Zoomoov ,Children`s Play Area include Craft and Escape Rooms,02145876423,,MKG-3,Lantai 2,P2,https://www.malkelapagading.com/directory/land-of-zoomoov,http://images.malkelapagading.com/tenant/Land-of-Zoomoovlogo-16.jpg
Lavalen ,Jasa perawatan rambut,02145853667,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/lavalen-hair-care,http://images.malkelapagading.com/tenant/Lavalenlogo-5.jpg
Levi's ,Jeans dan Pakaian,0214529680,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/levis,http://images.malkelapagading.com/tenant/Levislogo.jpg
Lewis Emma ,Baby & children`s clothing,021 4584 9069,https://api.whatsapp.com/send?phone=0858 8864 5202,MKG-3,Lantai 2,,https://www.malkelapagading.com/directory/lewis-emma,http://images.malkelapagading.com/tenant/Lewis-Emmalogo-15.jpg
Liang Sandwich ,"Liang Chicken Sandwich, Chicken Bolognaise Sandwich, Blackpepper Chicken Sandwich, Ham & Cheese Sandwich, Mushroom & Egg Sandwich",,,MKG-3,Lantai 3,Gedung Parkir 2 Lantai 3,https://www.malkelapagading.com/directory/liang-sandwich,http://images.malkelapagading.com/tenant/Liang-Sandwichlogo.jpg
Loccitane ,Bath & Body Care,02145853679,https://api.whatsapp.com/send?phone=628119465151,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/loccitane,http://images.malkelapagading.com/tenant/Loccitanelogo.jpg
Lumi Japan Beauty ,"Facial, Skin Care",02145864942,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/lumi-japan-beauty,http://images.malkelapagading.com/tenant/Lumi-Japan-Beautylogo.jpg
Lunas Doughnut ,Donut,,,MKG-3,Lantai 3,,https://www.malkelapagading.com/directory/lunas-doughnut,http://images.malkelapagading.com/tenant/Luna-Doughnutlogo-63.jpg
Luxcell Clinic ,"Korean Beauty & Anti Aging Clinic trained & managed by Luxcell Medical Korea (Facial Korea, Brightening Laser, Rejuvenation Laser, Pigmentation Laser, Skin Botox, Filler, Sulam Alis, Removal Laser)",08119786556,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/luxcell,http://images.malkelapagading.com/tenant/Luxcelllogo-44.jpg
Mako ,Cake & Bakery,02145853607,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/mako,http://images.malkelapagading.com/tenant/Makologo-68.jpg
Mama Roz ,Cold Press & Fresh Juice,02129002300,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/mama-roz,http://images.malkelapagading.com/tenant/Mama-Rozlogo.jpg
manZONE ,"Pakaian, tas, sepatu untuk pria",,,MKG-3,Lantai 2,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/manzone,http://images.malkelapagading.com/tenant/manZONElogo-12.jpg
Marketing Gallery The Kensington Royal Suites ,Kantor Pemasaran Proyek Summarecon,02145878512,,,,Gedung Parkir 3,https://www.malkelapagading.com/directory/marketing-gallery-the-kensington-royal,http://images.malkelapagading.com/tenant/Marketing-Gallery-The-Kensington-Royal2.jpg
Marks & Spencer ,"Pakaian, sepatu, beauty, aksesoris, makanan",02145855025,https://api.whatsapp.com/send?phone=6287880816172,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/mark-and-spencer,http://images.malkelapagading.com/tenant/Marks-Spencerlogo-82.jpg
Martha Tilaar Shop ,"Produk kecantikan, perawatan, makeup untuk wanita",0214533386,https://api.whatsapp.com/send?phone=6287885226041,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/martha-tilaar,http://images.malkelapagading.com/tenant/Martha-Tilaar-Shoplogo.jpg
Master Squid ,"Crispy Giant Squid, Squinion, Squid Head, Squiddy Meal Box, Milo Dino",,https://api.whatsapp.com/send?phone=6285697119818,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/master-squid,http://images.malkelapagading.com/tenant/Master-Squidlogo1.jpg
May May Salon ,Jasa salon & makeup,02145853880,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/may-may-salon,http://images.malkelapagading.com/tenant/May-May-Salonlogo.jpg
McDonald's Dessert ,Ice Cream,,,MKG-3,Lantai 3,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/mcdonalds-dessert,http://images.malkelapagading.com/tenant/McDonalds-Dessertlogo.jpg
Meiso Reflexology ,Jasa Reflexology,02145853618,,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement P1/P1A | Parkir L4,https://www.malkelapagading.com/directory/meiso-reflexology,http://images.malkelapagading.com/tenant/Meiso-Reflexologylogo1.jpg
Melissa Clube ,Bag & Shoes,087876699585,https://api.whatsapp.com/send?phone=087876699585,MKG-2,Lantai 1,,https://www.malkelapagading.com/directory/melissa-clube,http://images.malkelapagading.com/tenant/Melissa-Clubelogo-76.jpg
Mi Official Store ,Xiaomi products,02145853695,https://api.whatsapp.com/send?phone=6282117236765,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2,https://www.malkelapagading.com/directory/mi-official-store,http://images.malkelapagading.com/tenant/Mi-Official-Storelogo.jpg
Mie Hopeng ,"Mie Vegetarian : Mie Goreng Original, Mie Goreng Jamur, Mie Goreng Sambal Matah, Mie Goreng Tofu Nanas, Mie Soto Kulit Tahu, Mie Soto Sayur Krecek Kacang Tolo",,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/mie-hopeng,http://images.malkelapagading.com/tenant/Mie-Hopenglogo4.jpg
Mini Melissa  ,"Sepatu, sandal",083871972955,https://api.whatsapp.com/send?phone=083871972955,MKG-3,Lantai 2,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/melissa-shoes,http://images.malkelapagading.com/tenant/Mini-Melissa-logo-52.jpg
MINISO ,"Kitchen utensils, home furnishing, beauty tools, accessories, bag, headphones/earphones, powerbank, note book, stationary, etc",0214525396,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/miniso,http://images.malkelapagading.com/tenant/MINISOlogo.jpg
Minoshe ,Underwear wanita,02145853735,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/minoshe,http://images.malkelapagading.com/tenant/Minoshelogo.jpg
Miss Mondial ,Perhiasan,02145853847,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/miss-mondial,http://images.malkelapagading.com/tenant/Miss-Mondiallogo.jpg
Mister Donut ,"Doughnuts, coffee, muffins, and pastries",,https://api.whatsapp.com/send?phone=6287836688111,Gading Walk,Lantai Dasar,Gedung Parkir 2/5 Basement,https://www.malkelapagading.com/directory/mister-donut,http://images.malkelapagading.com/tenant/Mister-Donutlogo-19.jpg
MKG X Danjyo Hiyoji ,"Tote bag kolaborasi MKG X Danjyo Hiyoji | Pilihan warna : Hitam, Putih, Navy | Harga : Rp 275.000,-",081802938111,https://api.whatsapp.com/send?phone=6281802938111,,,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/mkg-x-danjyo-hiyoji,http://images.malkelapagading.com/tenant/MKG-X-Danjyo-Hiyojilogo-96.jpg
Mochi Mochio ,Traditional Taiwanese Mochi,081290908737,,MKG-1,Lantai 1,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/mochi-mochi,http://images.malkelapagading.com/tenant/Mochi-Mochiologo-24.jpg
MOMO Paradise ,"Authentic Shabu-Shabu & Sukiyaki Est. 1993 in Kabukicho, Tokyo",,,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/momo-paradise,http://images.malkelapagading.com/tenant/MOMO-Paradiselogo.jpg
MOMOIRO ,"Pillow Cake : Vanilla Custard, Cheese, Pandan, Creamy Salted Egg Yolk, Matcha, Coffee, Double Chocolate, Caramel Honey & Cheese Sauce, Chocolate Vanila Cake, Purple Sweet Potato",,,MKG-3,Lantai 2,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/momoiro,http://images.malkelapagading.com/tenant/MOMOIROlogo1.jpg
MOOIMOM ,Perlengkapan calon ibu & bayi,,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/mooimom,http://images.malkelapagading.com/tenant/MOOIMOMlogo.jpg
MORO Bake Shop & Coffee ,"Aneka Roti, Roti Sobek, Pastry, Snack & Kopi Susu",,https://api.whatsapp.com/send?phone=6287877331443,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/moro-bake-shop,http://images.malkelapagading.com/tenant/MORO-Bake-Shoplogo-67.jpg
Moro Bakeshop & Coffee ,"Roti & Kue Traditional, Snackbox",,,,,Gedung Parkir 3,https://www.malkelapagading.com/directory/moro-bakeshop-and-coffee,http://images.malkelapagading.com/tenant/Planet-Popcornlogo.jpg
Mothercare ,"Baju, sepatu, mainan, perlengkapan bayi & anak-anak",02145853815,https://api.whatsapp.com/send?phone=6287877809086,MKG-3,Lantai 2,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/mothercare,http://images.malkelapagading.com/tenant/Mothercarelogo.jpg
My Feet ,Sendal kesehatan,0214533343,,MKG-3,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/my-feet,http://images.malkelapagading.com/tenant/My-Feetlogo2.jpg
My Nail ,"Jasa nail art, menipedi, french menicure / pedicure, hand & foot spa",,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1A/Parkir L6/L5,https://www.malkelapagading.com/directory/my-nail,http://images.malkelapagading.com/tenant/My-Naillogo2.jpg
Myer Jewellery ,Perhiasan,0214529684,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/myer-jewellery,http://images.malkelapagading.com/tenant/Myer-Jewellerylogo.jpg
Nasi Pedas Kampung Bali ,"Nasi Bakar Ayam, Nasi Bakar Udang, Nasi Bakar Empal, Nasi Bakar Cumi, Nasi Bakar Ikan",087888360383,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/nasi-pedas-kampung-bali,http://images.malkelapagading.com/tenant/Nasi-Bakar-Pusatlogo.jpg
Natural Farm ,"Vitamin, Health food, Sport Nutrition, Natural Cosmetics",0214529615,https://api.whatsapp.com/send?phone=628161672226,MKG-3,Lantai 3,Gedung Parkir 3 Lt. 3 P3,https://www.malkelapagading.com/directory/natural-farm,http://images.malkelapagading.com/tenant/Natural-Farmlogo-5.jpg
Nature Republic ,"Cosmetic, beauty care",0214525098,,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/nature-republic,http://images.malkelapagading.com/tenant/Nature-Republiclogo.jpg
New Balance ,Sport shoes & accessories,,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/new-balance,http://images.malkelapagading.com/tenant/New-Balancelogo-50.jpg
New Eropa Watch ,"Jam tangan, watches",0214530688,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/new-eropa-watch,http://images.malkelapagading.com/tenant/New-Eropa-Watchlogo1.jpg
New Metro Jewellery ,Perhiasan,0214533417,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/new-metro-jewellery,http://images.malkelapagading.com/tenant/New-Metro-Jewellerylogo.jpg
New Paris ,Perhiasan,0214529530,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/paris-jewellery,http://images.malkelapagading.com/tenant/New-Parislogo.jpg
New Utama ,Jam Tangan atau Arloji,,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/new-utama,http://images.malkelapagading.com/tenant/New-Utamalogo1.jpg
NIKE ,"NIKE shoes, clothing, sport gear& accessories",,https://api.whatsapp.com/send?phone=6281910020066,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/nike,http://images.malkelapagading.com/tenant/NIKElogo.jpg
O.W.L ,"Glasses, kacamata, aksesoris kacamata",02145878528,,MKG-3,Lantai 2,Gedung Parkir 2 Lantai 3,https://www.malkelapagading.com/directory/owl,http://images.malkelapagading.com/tenant/O-W-Llogo.jpg
Obermain ,A sophisticated shoe brand from Germany inspired by modern urban lifestyle.,,https://api.whatsapp.com/send?phone=6281932127720,MKG-2,Lantai 1,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/obermain,http://images.malkelapagading.com/tenant/Obermainlogo-90.jpg
Old Chang Kee ,Singapore Snack,,https://api.whatsapp.com/send?phone=081110011182,Gading Walk,Lantai Dasar,,https://www.malkelapagading.com/directory/old-chang-kee,http://images.malkelapagading.com/tenant/Old-Chang-Keelogo-22.jpg
Olivia Burton Watch ,"Women watch, arloji, jam tangan wanita",02145853778,,MKG-3,Lantai 1,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/olivia-burton-watch,http://images.malkelapagading.com/tenant/Olivia-Burton-Watchlogo.jpg
Olla Beauty Studio ,"Nail salon, maicure pedicure, eyelashes extension",081237299797,,MKG-3,Basement,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/olla-beauty-studio,http://images.malkelapagading.com/tenant/Olla-Beauty-Studiologo.jpg
Omega ,"Arloji, watches, jam tangan",02145864984,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/omega,http://images.malkelapagading.com/tenant/Omegalogo.jpg
One Piece Hair Studio ,Salon,02145878359,https://api.whatsapp.com/send?phone=622139705200,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/one-piece-salon,http://images.malkelapagading.com/tenant/One-Piece-Salonlogo.jpg
Oppo ,Gadget,,,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/oppo,http://images.malkelapagading.com/tenant/Oppologo-84.jpg
Optik Melawai ,"Kacamata, frame, contact lens",0214529679,https://api.whatsapp.com/send?phone=628551837401,MKG-3,Lantai Dasar,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/optik-melawai,http://images.malkelapagading.com/tenant/Optik-Melawailogo-17.jpg
Optik Seis ,"Kacamata, frame, contact lens",0214533423,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/optik-seis,http://images.malkelapagading.com/tenant/Optik-Seislogo.jpg
Optik Seis Signature ,"Kacamata, frame, contact lens",,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/optik-seis-signature,http://images.malkelapagading.com/tenant/Optik-Seis-Signaturelogo.jpg
Optik Tunggal ,"Kacamata, frame, contact lens",02145853828,https://api.whatsapp.com/send?phone=6285892000759,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement - P1/P1A,https://www.malkelapagading.com/directory/optik-tunggal,http://images.malkelapagading.com/tenant/Optik-Tunggallogo.jpg
Our Daily Dose ,Shoes & sneaker,02145844122,,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/our-daily-dose,http://images.malkelapagading.com/tenant/Our-Daily-Doselogo1.jpg
Pan & Co ,Japanese fluffy pancakes,,https://api.whatsapp.com/send?phone=628118187807,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/pan-and-co,http://images.malkelapagading.com/tenant/Pan-Cologo-7.jpg
Pancious ,"Pancake & Waffle, Pasta, Steak, Salad, Omelette",02145853758,https://api.whatsapp.com/send?phone=6281113707473,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement P1/P1A,https://www.malkelapagading.com/directory/pancious,http://images.malkelapagading.com/tenant/Panciouslogo3.jpg
Panorama JTB ,Tour and Travel Service,02145843035,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/panorama-jtb,http://images.malkelapagading.com/tenant/Panorama-JTBlogo2.jpg
Paperclip ,Alat tulis/stationary dan buku,081380037921,,MKG-3,Lantai 2,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/paperclip,http://images.malkelapagading.com/tenant/Papercliplogo.jpg
Passion Jewelry ,Perhiasan,02145853787,https://api.whatsapp.com/send?phone=6285780066686,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/passion-jewelry,http://images.malkelapagading.com/tenant/Passion-Jewelrylogo.jpg
Pastel Ma`Cik ,"Pastel Ayam, risol, aneka kue basah",,https://api.whatsapp.com/send?phone=6281296735296,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/pastel-macik,http://images.malkelapagading.com/tenant/Pastel-Ma-Ciklogo-83.jpg
PAWS Dog Dream Park ,"Dog dream park, daycare, dog hotel, swimming, blow dry, grooming, ",087880920887,,Gading Walk,Lantai Dasar,Gedung Parkir 2/3/5 Basement,https://www.malkelapagading.com/directory/paws-dog-dream-park,http://images.malkelapagading.com/tenant/PAWS-Dog-Dream-Parklogo.jpg
Pedro ,"Tas, dompet & sepatu untuk pria dan wanita",02145853955,https://api.whatsapp.com/send?phone=622172780187,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/pedro,http://images.malkelapagading.com/tenant/Pedrologo-84.jpg
Peggy's Laundry ,Jasa Laundry,02145864366,,MKG-3,Basement,Gedung Parkir 3 Basement - P1/P1A,https://www.malkelapagading.com/directory/peggys-laundry,http://images.malkelapagading.com/tenant/Peggys-Laundrylogo1.jpg
Pepper Lunch ,Sizzling Hot Teppan,02145853612,,MKG-3,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/pepper-lunch,http://images.malkelapagading.com/tenant/Pepper-Lunchlogo.jpg
Periplus Bookstore ,"Segala jenis buku, novel, majalah, baik dalam negeri maupun luar negeri.",0214533436,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/periplus-bookstore,http://images.malkelapagading.com/tenant/Periplus-Bookstorelogo.jpg
Petra Toys ,Mainan anak-anak,0214533415,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/petra-toys,http://images.malkelapagading.com/tenant/Petra-Toyslogo.jpg
Pho BaBa ,Noodles Soup - Rolls - Banh Mì,08810365838,https://api.whatsapp.com/send?phone=08810365838,MKG-1,Lantai Dasar,,https://www.malkelapagading.com/directory/pho-baba,http://images.malkelapagading.com/tenant/Pho-BaBalogo-54.jpg
Pietro's Gelato ,Es krim aneka rasa,,,MKG-2,Lantai 2,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/pietros-gelato,http://images.malkelapagading.com/tenant/Pietros-Gelatologo1.jpg
Pigeon ,Produk untuk bayi & anak-anak,02145853566,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/pigeon,http://images.malkelapagading.com/tenant/Pigeonlogo.jpg
Pizza Hut ,"Pizza, Pasta, Salad, Garlic Bread, Chicken Wings",02145853602,https://api.whatsapp.com/send?phone=628113249084,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/pizza-hut,http://images.malkelapagading.com/tenant/Pizza-Hutlogo.jpg
Pizza Marzano ,"Pizza, Pasta, Salad, Calzone, Risotto, Desserts & Ice Cream",02145853645,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/pizza-express,http://images.malkelapagading.com/tenant/Pizza-Marzanologo1.jpg
Planet Sport ,Perlengkapan olahraga,02145853704,https://api.whatsapp.com/send?phone=6289502029860,MKG-3,Lantai 2,Gedung Parkir 3 Lt GF,https://www.malkelapagading.com/directory/planet-sports,http://images.malkelapagading.com/tenant/Planet-Sportlogo.jpg
Play N Learn Kelapa Gading ,Edu Fun Destination,,,MKG-2,Lantai 2,,https://www.malkelapagading.com/directory/play-n-learn-kelapa-gading,http://images.malkelapagading.com/tenant/Play-N-Learn-Kelapa-Gadinglogo-13.jpg
Polo Diesel ,Fashion untuk pria dan wanita,0214529624,,MKG-2,Lantai Dasar,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/polo,http://images.malkelapagading.com/tenant/Polo-Diesellogo1.jpg
